product_id,product_name,category,price
PROD-0001,Open Beaautiful,clo,32309.95
PROD-0002,Race Third,automotive,47346.82
PROD-0003,MEAN YOUR,3l3ctronics,-100
PROD-0004,Consumer Newspaper,toys,28506.95
PROD-0005,A Hot,clothing,19165.58
PROD-0006,How Over,clothing,2215.4
PROD-0007,Each Attorney,home,49101.1
PROD-0008,Idea Institution,clothing,20599.53
PROD-0009,Billion Animal,electronics,27710.51
PROD-0010,By Speaak,clothing_,0
PROD-0011,Development How,home,38495.28
PROD-0012, Bit Its,electronics ,35426.08
PROD-0013,Appear Position,toys,46067.97
PROD-0014,Ahead Once,sports,26010.64
PROD-0015,Mrs Audience,electronics,29803.79
PROD-0016,StartWear,hom3,"1,200"
PROD-0017,Daughter Speech,home,30310.1
PROD-0018,current agreement,CLOTHING,0
PROD-0019,Section Drive ,sports ,NaN
PROD-0020,StockYard,,"1,200"
PROD-0021,Station Purpose,automotive,40642.04
PROD-0022,Information Will,beauty,41128.19
PROD-0023,Magazine Health6,SPORTS,0
PROD-0024, Nature While,aut,NaN
PROD-0025, Allow Physical,clo,NaN
PROD-0026,BringOffice,TOYS,NaN
PROD-0027,Decade Detail,electronics,37907.67
PROD-0028,Campaign Either,home,17246
PROD-0029,Police Alone,kitchen,8088.09
PROD-0030,Business Still,kitchen,49986.32
PROD-0031,Century Old!,kitchen ,"1,200"
PROD-0032,HoldBefore,bea,-100
PROD-0033,Peace Magazine,kitchen,27304.07
PROD-0034,Southern Fall ,bea,466.48
PROD-0035,Level Tax,beauty,25140.45
PROD-0036,Yard Participant,toys,41290.36
PROD-0037,Control Test,home,15382.44
PROD-0038,Show Game,electronics,25286.66
PROD-0039,News Likely,toys,34384.6
PROD-0040,Night Successful,hom,0
PROD-0041,Subject Loss,home,7213.78
PROD-0042,Inside Road,automotive,42744.27
PROD-0043,BABY SOMETIMES,,0
PROD-0044,Smile Order,electronics,4769.44
PROD-0045,Lawyer Real,toys,9810.24
PROD-0046,Wall People,beauty,47459.54
PROD-0047,AIR SON,HOME,0
PROD-0048,Glass Top,kitchen,34102.67
PROD-0049,Population Those,beauty,36516.08
PROD-0049,Population Those,beauty,36516.08
PROD-0049,Population Those,beauty,-56
PROD-0049,Population Those,beauty,-567.67
