order_id,customer_id,product_id,order_amount,order_date,payment_method,status,quantity
06b5aa88-f86f-4e07-8e4b-6df36402c209,0a331d4c-a73d-4271-83ac-2f6726635495,PROD-0060,473.82,29/07/2025,wall-et,success,1
5b10b856-e084-471c-bc16-8dbab95e3f33,9e48263f-7923-4cb9-8138-b9da8eb85619,PROD-0393,17796.32,2024/31/01,card,success,1
88706122-160e-4721-b537-73cee232fcd5,245fac1f-5ac1-4448-acc9-70ff980a4e9b,PROD-0332,31201.75,2/03/2024,wallet,success,2
c6ae75af-0313-4194-a788-8802515af2e4,abfda25e-6a38-4aa8-be24-cd22f371b2b0,PROD-0059,42282.89,,wallet,refunded,2
032ab1c7-8882-47d8-a2ac-fbefc1cfb2eb,e0010492-b072-4f48-abd6-8a87938fad24,PROD-0342,27100.3,11/02/2024,wallet,success,1
0f2433b5-1f67-4446-9849-edff493026c2,bdf18b4d-db9f-46f0-8758-44a938529a49,PROD-0297,2393.67,9/11/2025,card,success,4
71223631-9926-4ced-b994-60a6d97d1001,5380805b-1e8f-434c-a898-bfe678c2ea7a,PROD-0137,12532.69,1/12/2025,upi,success,5
4acbdb89-3acd-40ff-ab86-87af982fcca8,a4bc8fc9-f452-43b3-a4c1-eaf7cec182ae,PROD-0010,47079.63,20/08/2025,card,success,2
cc6dcafa-a53f-4be5-aee3-ec29d5994f0d,d7e5abd4-33ab-404f-adc1-de28fb6756ae,PROD-0243,32901.99,27/02/2025,upi, FAILED,5
184ee64a-b795-4137-868f-9a90c6580ba2,b6a71ba1-8f4b-4f82-a131-c987879c104d,PROD-0084,3858.55,30/12/2023,upi,success,3
2ec9aced-a816-43b7-b4df-d27b8897f3a4,48608d73-d5fc-4c66-a43b-9dfc6e67e203,PROD-0490,26531.19,7/05/2025,cash,success,4
9cd401b4-4a78-476b-906d-b15ffe5910b0,4111ec1f-523e-44ab-905c-df3d4f13f112,PROD-0340,40344.97,24/05/2025,upi,suc, 
8fc20b6f-fbd2-4d34-b935-ae0e375aad80,9186ed0d-0297-4355-ae7f-a332ce8fd46f,PROD-0399,41711.08,10/01/2025 12:00,card,SUCCESS,3
9b1262e3-96a0-4aa8-9721-babbd152901d,a802e40f-7a9f-45ee-a2f3-badd3ed1fe46,PROD-0175,29184.75,17/02/2024,CRAD,success,4
41565f0b-d0b8-4b2b-b7f5-f6f32d0d190e,b0664d8e-a592-41e7-8a5a-41a46eb9cb38,PROD-0452,8581.57,20/07/2025,wallet,success,1
4b5d74d1-91f1-47e8-b0d2-9a68fe92341e,5b8f9a1d-b658-400d-b96a-271150f6c8bf,PROD-0214,-50,2026-12-20T15:18:00.441995,card,refunded, 
f2c4328c-a2b6-4714-9e98-8aace7189533,26392abf-8cc1-4288-b0f8-eba720f7bff3,PROD-0193,40904.93,3/06/2024,cash,success,0
7d0f581d-dfbc-49ac-b0f7-ad7a6ed6b7ef,486810a0-2f8f-43c9-ae73-1c0bd9a9815e,PROD-0360,35036.68,16/12/2023,upi,success,3
84a34bc6-02af-4949-ac03-1f72731f7881,a58d0abc-c79e-4a7d-8b55-95eca158e786,PROD-0435,-50,2024/31/01,cash,success,4
c799fc4a-b269-47c7-85f8-295a19f7a975,9a845211-d346-4e65-ac7c-9fb6f91a72dc,PROD-0037,4016.76,,upi,success,3
f96cc758-ee08-48c0-82bb-3b11313afd3e,e4212166-be18-4b65-81c8-8b772e624208,PROD-0113,25385.07,31/12/2023,card,refunded ,3
a025a60c-13bc-40b6-ac66-2f656328fe8a,88468d69-d883-49b3-ae7f-32eeb20c81aa,PROD-0484,NaN,27/08/2024,CRAD,success,4
d3eace5e-c606-4bea-891f-8e7ebf73680d,ec1c37ed-a259-432b-9c95-b8b01ea78698,PROD-0052,19892.67,10/01/2025 12:00,wallet, FAILED,3
e9c0175d-608c-4e16-a59b-0cb481558e54,22f916ad-e4d9-486f-842f-9cc86e04c923,PROD-0264,44494.78,31/03/2025,wallet,success,5
eca176df-4bad-4fac-ae27-22fcfc667ba1,dea3e352-ff34-404c-9f9a-b545b4e784ee,PROD-0155,-50,2024/31/01,cash,SUCCESS,4
1e06a8d6-727d-4457-9964-2b1f057b7862,056aca7a-22be-470e-ba30-8249fad83998,PROD-0242,16754.52,2024/31/01,upi,success,2
a8c2c699-53e9-4844-acb1-38a7f258046f,d6d784cf-b1ff-4b71-b0e2-a5c0ee396efc,PROD-0432,"1,200",27/11/2024,cash,success,1
3f730584-137d-4a7c-a9ec-24c76424fd5e,c974a971-2856-4b04-a766-5f08da78acdd,PROD-0045,37919.65,27/03/2024,upi,refunded,five
28ebda82-9f2c-45c4-b869-b707d9909589,f0f3f6bf-b9a0-4e4a-acbc-0fb00717d825,PROD-0201,36862.57,11/02/2024,upi,failed,4
d5c64588-8aa0-42ed-9273-4a0f1c0c4636,c296994a-45b4-4f2d-b754-331374011d5f,PROD-0276,31629.08,2026-10-25T15:18:00.713029,cash,success,5
22937309-97fa-483a-98e8-1631bd0611fa,f49df79b-d21a-4987-aa9e-559319332227,PROD-0430,26678.72,9/06/2025,cash,success,4
