ticket_id,customer_id,issue_type,ticket_created,ticket_resolved,resolution_time_hours,sentiment,support_agent
b88e879e-d3c6-41ae-9aa3-140a5512936c,0c27206e-a220-474b-83fa-3017bae1a8c8,payment,,2024-06-19T07:27:03,166,neutral, Felicia Rodgers
036df0e5-42e2-47f8-be4f-9cab16b4174f,e7ba0466-bdf5-47dc-bd21-0a87d1bb7ffe,payment,,2025-07-16T07:34:31,96,neutral,Robert Ball
b6fcfc41-e045-4f79-8447-5a1464741d76,a2bd0e7f-a1a2-49a2-9b0f-32b06207f3ab,payment,2024-01-08T10:13:06,2025-12-12T28:77:10,98,neutral,Kaathy Berry
2394323b-cea4-401f-b11e-206bb609d17f,ea0320ec-675d-42be-bcf8-ec2b2a71b14b,payment,2024-06-17T07:37:37,2024-06-25T12:37:37,197,positive,Julie Bishop
bc2183e9-c0c1-4d33-b738-ab3ec7ba4455,c79c0aa3-659e-4b0a-9b99-77a93e302bea,delay,2025-12-12T28:77:10,2025-08-18T19:03:58,13,NEGATIVE,Margaret Morse
a13c7b80-fbf9-4001-b7cd-02100e743685,0a333a8a-18ac-4316-85c8-a70921d402d6,payment,2024-05-13T23:20:24,2024-05-22T07:20:24,200,POSITIVE,matthew mccann
e2e3c86f-be4c-47a5-a2f2-db7f1ea6419b,7dc9a42b-19dc-4611-b8be-ee14bcf4416d,payment,2024-11-04T01:32:32,2024-11-11T15:32:32,182,positive,Michael Morgan DDS
9eb45393-f253-46ab-b639-773036a9c8c7,c36f0cc1-99f7-40af-bc83-be049bbc1dc6,delay,2024-04-11T10:34:03,2024-04-15T05:34:03,91,negative ,margaret morse
9738f598-bd3e-4461-9218-ca24b1065882,3c6859a2-8efa-4104-8b63-c6685c8768da,payment,,31-15-2023,140,positive,Judy Baarreraa
f50574b4-dbe8-4788-8c19-781898baf137,ab36441d-0fba-4384-b27a-d14775d350ab,refund,2025-04-12T05:34:22,2025-04-18T17:34:22,156,positive,Christie Thomas
272ae23d-013b-4984-8451-a430d2db67fe,b0388a0a-e588-4100-887c-b635193590c3,product,2023-12-06T05:22:36,2023-12-07T04:22:36,23,negative,briana garcia
f166a3ff-d1ae-485f-a22e-be68db5b7712,a131c450-7006-4772-9789-f5c1652efda2,delay,2024/31/01,2024-10-08T12:37:50,209,negative,Clayton Palmer Jr.
53391c8c-eabb-4c97-9f35-34a43bd7bb7c,a5623697-e21c-420e-a91a-f6656df24ded,pro,2024-01-24T02:36:03,2024-01-29T18:36:03,136,neutral,Charles Williams 
d74a129c-9661-431a-88fd-346c9b114162,5d4e1b1c-e9d9-4c0c-8c39-142dc1f5f5c7,delay,2024-10-10T03:25:47,2024-10-17T12:25:47,177,positive,Sandra Diaz
eec7d60f-ca45-47e8-8bc9-5b1489958add,aafa7b0d-5d2b-48e9-a2e6-2d248cf1e6f8,delay,31-15-2023,2024-01-23T05:19:58,168,neg,Margaret Morse
bdfdfc6f-896e-4b55-8ae2-f959c34c6dfc,2a9e2ec8-be6b-432b-9799-725a571d9b43,product,2024-07-18T21:57:13,2024-07-28T00:57:13,219,negative,Jacob Blake
36474b1d-8e71-4745-9d9b-1e083e00abb3,9bb5e2a2-73e1-43b5-a034-0bcd91844b04,refund,2025-03-27T16:47:17,2025-04-02T12:47:17,140,negative,Cody Lyons
2f2f9761-d782-4296-9c49-3672d6638424,02de53f2-f903-4686-9d4a-e44c7a76c09d,refund,2025-02-10T09:20:39,2025-02-19T12:20:39,219,neutral, Teresa Davis
4cb20a6d-a38d-4903-b03b-c46656f09db6,4ceb3703-cfc0-4ef7-b142-80ae26569c42,product,2024-12-30T14:20:32,2024/31/01,20,negative, Stephen Gomez
1ade54d5-bd1d-4925-9172-04ccc72b5fc2,9090210f-7e13-41ea-a61c-2c3f1de8168c,product,2025-03-28T20:58:12,2025-04-03T16:58:12,140,neutral,Julie Williams
d7cbc648-cf1f-49b1-bdaa-35b685d0369f,432dc3a4-cbe0-40e5-b3d4-5249ef00f88f,refund,2024/31/01,2024-04-25T01:36:02,1,neutral,Yvonne Galvan
b009b843-4e07-4c2d-9d05-90507cafd38c,64f36022-eccb-473e-a134-6f5d756811c3,refund,2024-04-18T14:13:07,2024-04-23T23:13:07,129,neutral,Jacob Edwards
8c0d84ac-4707-40fc-943a-f31a2b8b7ea9,33a3991d-58f3-4b32-ab12-102dded9370f,refund,2025-08-06T02:29:20,2025-08-09T09:29:20,79,negative,Michaael Zaavaalaa
21efe70a-96a0-4bf6-8330-f1d0401606bc,83d8e7c2-9d4b-4ab5-aced-434a4c9163d3,delay,2025-12-12T28:77:10,2024-02-20T05:39:13,176,positive,Derek Stewart
72b02e51-fd36-4a13-a61e-c9f6e592f13a,3309c597-d858-4f86-9ab3-3921b666c61b,refund,2024-10-01T21:53:56,2026-08-08T15:41:45.011046,55,neg,Grace Evans
35d69121-44da-4f3a-9929-520010a79b51,0c15d282-960e-4626-bb65-ae31cd9367ab,r3fund,2025-10-10T18:41:04,2025-10-13T13:41:04,67,negative,ANDREA MORALES
86670f24-7fe2-4990-aa6e-75302d604183,9abecb7e-f8ff-47ce-b102-f09a26052369,delay,2024-02-23T12:00:47,2024-02-25T15:00:47,51,positive,Felicia Rodgers
73b67e5c-5999-442e-9a83-65e095c5be86,88904c46-468c-4982-86cf-d68e5c9a6af5,refundx,2025-12-12T28:77:10,31-15-2023,188,neutral,Emily Banks
a1f269ac-628b-45c0-835b-9132bcc9c74e,05adb8b0-1169-4afc-a630-1fbad9bee466,refund,2026-06-22T15:41:44.348698,2025-09-20T01:14:31,187,NEGATIVE,Robert Smith
7298717a-f310-4f43-925c-aad0e4bc7cb4,3cc18cfd-7b19-4eec-856f-07c9b6645aa1,product,2025-01-16T01:07:55,2025-01-17T16:07:55,39,neutral,Anthony Davis
b012baea-0151-40d4-a6dc-6fde90b8bd19,443ce36b-86a8-40e3-ba06-1eed8ba0fa0c,DELAY,2025-03-30T01:17:04,2025-04-07T12:17:04,203,positive, Isaac Grant
5a666f7e-d402-4e03-9a27-222cee5dc1c5,aa939fbe-6c6b-4164-abd7-75db663c3480,r3fund,2025-11-19T07:55:44,2025-11-21T21:55:44,62,negative,Marisa Cook
4ccd5e48-2f96-48ca-b670-18f04eb0ebfd,2dbaae76-8b42-4601-9d0a-7cf5f9e067db,refund,,2024-02-25T13:22:05,3, neutral,Caleb White
1e24d0c8-2ebd-4e30-8ef1-20affcb28784,63c6efd6-8bb8-4c94-bbb7-b783ad335956,product,2025-12-12T28:77:10,2024-05-23T17:02:23,95,negative,Heather Parker
1cf8124e-8b25-4ce0-8a42-417ad4fecdbf,3da555b8-9c1c-453d-9e6d-6822300b8601,pro,2024-05-28T03:27:18,2025-12-12T28:77:10,18,POSITIVE,Ruth Morris
2a6b0cbc-1d27-4b18-b493-a84b1c75981d,ade09e8f-c189-4e6c-b8de-436411fd94ca,delay,2025-03-10T21:50:17,31-15-2023,158,neutral,Felicia Glover
55cd50a1-9f01-4650-819d-567c82370811,d124539c-87d2-4f26-b135-3fd56b18ae8d,delay,2027-01-01T15:41:44.414499,2024-11-04T06:16:02,85,neutral,Michael Simon
665c3e23-4cf3-4997-ad79-a95996d316cc,87ec90ce-b977-4563-9a3c-bc07337062ee, refund,2024-05-18T10:47:03,,221, negative,David Jones 
7c80b358-69da-42b6-9903-d05df4fb33e9,44d75b39-5eca-4072-bd1b-1432e10e4dea,pay,2024/31/01,,86,positiv3,Bradley Chase
8983aed4-0262-4a38-bd9e-9cbdcea57b3c,9e1d388d-c208-4c87-bd6c-bfe96920a996,delay,2025-03-16T04:40:21,2025-03-23T03:40:21,167,positive,Scott Larson
827390a4-9964-4a17-9c9f-4868b2cd0540,3a827628-888d-4580-a1ff-d5877b3c7ec8,payment,2024-09-17T08:09:48,2024-09-18T11:09:48,27,positive,Michael Faulkner
8a3b7124-8002-41e4-a71d-65cd6d9f0c69,bb85ab3f-733c-4d08-a875-9ce3cd784d8d,tnemyap,2024/31/01,2024-04-20T01:06:48,219,positive,Jennifer Ray
c5723057-ee20-44a3-a646-4593e8f7ef5c,a0ff8109-5115-4217-8631-70f670bceb20,product,2025-10-20T03:46:20,2025-10-28T05:46:20,194,neutral,Samantha Ross
6c14d127-83fa-4a19-af81-a5bd071caa0c,0914f66e-ecf3-428f-8641-d21d457ca59d,productx,2026-11-13T15:41:44.422616,2025-05-08T17:10:13,156,neutral,Edward Gregory 
0f90cb1c-0e39-4bdd-8f41-b518bb1fed90,5032a125-7040-4a2e-b2ff-640de71bb053,pay,2025-02-08T12:08:51,2026-12-10T15:41:44.639986,168,neutral,amanda dyer
338ef1cd-c4e6-4e14-b1dd-682c687b9284,f48e7369-22e3-44ec-9f87-0940d5bd6522,delay,2025-07-08T03:02:21,2025-12-12T28:77:10,184,neutral,Andrea Green--
33b7fecf-7f0b-4952-8fda-b84d024af695,49814089-254b-4308-9acc-59bbbe3f8cce,pro,2024-07-15T19:53:29,2024-07-17T22:53:29,51,neutral,Briana Garcia
ee755035-0d48-4cc3-8972-3d39dc95b1a1,927a7f06-640f-48ce-9249-c1c5aaa6091c,PAYMENT,2025-03-25T15:05:41,2025-03-29T11:05:41,92,positive,Sandra Diaz
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-01-02T15:41:44.397418,2025-08-11T14:01:38,142,positive,Scott Larson
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-01-02T15:41:44.397418,2025-08-11T14:01:38,142,positive,Scott Larson
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-42-02T15:41:44.397418,2025-08-11T14:01:38,142,positive,Scott Larson
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-01-02T15:41:44.397418,2025-45-56T14:01:38,142,positive,Scott Larson
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-01-02T15:41:44,2025-08-11T14:01:38,142,positive,Scott Larson
6f92e898-37a7-453c-8f6e-f46374ee5687,71c07fc4-8917-4963-a34f-3889bb488677,yaled,2027-01-02T15:41:44.397418,2025-08-1114:01:38,142,positive,Scott Larson
